YEAR,FG,STAT
1950,33.96,field-goal-percentage
1951,35.62,field-goal-percentage
1952,36.62,field-goal-percentage
1953,36.96,field-goal-percentage
1954,37.1,field-goal-percentage
1955,38.28,field-goal-percentage
1956,38.56,field-goal-percentage
1957,37.94,field-goal-percentage
1958,38.26,field-goal-percentage
1959,39.4,field-goal-percentage
1960,40.9,field-goal-percentage
1961,41.44,field-goal-percentage
1962,42.58,field-goal-percentage
1963,44.0,field-goal-percentage
1964,43.3,field-goal-percentage
1965,42.64,field-goal-percentage
1966,43.32,field-goal-percentage
1967,44.12,field-goal-percentage
1968,44.66,field-goal-percentage
1969,44.1,field-goal-percentage
1970,45.98,field-goal-percentage
1971,44.94,field-goal-percentage
1972,45.46,field-goal-percentage
1973,45.72,field-goal-percentage
1974,45.94,field-goal-percentage
1975,45.76,field-goal-percentage
1976,45.86,field-goal-percentage
1977,46.56,field-goal-percentage
1978,46.88,field-goal-percentage
1979,48.64,field-goal-percentage
1980,48.18,field-goal-percentage
1981,48.58,field-goal-percentage
1982,49.2,field-goal-percentage
1983,48.56,field-goal-percentage
1984,49.22,field-goal-percentage
1985,49.16,field-goal-percentage
1986,48.78,field-goal-percentage
1987,48.1,field-goal-percentage
1988,48.12,field-goal-percentage
1989,47.82,field-goal-percentage
1990,47.64,field-goal-percentage
1991,47.56,field-goal-percentage
1992,47.34,field-goal-percentage
1993,47.42,field-goal-percentage
1994,46.72,field-goal-percentage
1995,46.82,field-goal-percentage
1996,46.42,field-goal-percentage
1997,45.72,field-goal-percentage
1998,45.22,field-goal-percentage
1999,43.86,field-goal-percentage
2000,45.02,field-goal-percentage
2001,44.42,field-goal-percentage
2002,44.72,field-goal-percentage
2003,44.42,field-goal-percentage
2004,44.1,field-goal-percentage
2005,45.04,field-goal-percentage
2006,45.72,field-goal-percentage
2007,46.12,field-goal-percentage
2008,45.94,field-goal-percentage
2009,46.14,field-goal-percentage
2010,46.42,field-goal-percentage
2011,46.16,field-goal-percentage
2012,45.16,field-goal-percentage
2013,45.48,field-goal-percentage
2014,45.66,field-goal-percentage
2015,45.22,field-goal-percentage
2016,45.58,field-goal-percentage
2017,46.08,field-goal-percentage
2018,46.4,field-goal-percentage
2019,46.58,field-goal-percentage
2020,46.62,field-goal-percentage
2021,47.34,field-goal-percentage
2022,47.1,field-goal-percentage
2023,48.54,field-goal-percentage