YEAR,RPG,STAT
1950,0,rpg
1951,4.88,rpg
1952,5.28,rpg
1953,5.12,rpg
1954,5.22,rpg
1955,5.62,rpg
1956,5.62,rpg
1957,5.84,rpg
1958,6.44,rpg
1959,6.24,rpg
1960,6.6,rpg
1961,6.76,rpg
1962,6.6,rpg
1963,5.96,rpg
1964,6.18,rpg
1965,6.3,rpg
1966,6.24,rpg
1967,6.06,rpg
1968,6.14,rpg
1969,6.06,rpg
1970,5.54,rpg
1971,5.44,rpg
1972,5.32,rpg
1973,5.28,rpg
1974,5.0,rpg
1975,4.76,rpg
1976,4.68,rpg
1977,4.58,rpg
1978,4.82,rpg
1979,4.6,rpg
1980,4.6,rpg
1981,4.38,rpg
1982,4.26,rpg
1983,4.3,rpg
1984,4.14,rpg
1985,4.18,rpg
1986,4.2,rpg
1987,4.26,rpg
1988,4.24,rpg
1989,4.22,rpg
1990,4.22,rpg
1991,4.2,rpg
1992,4.28,rpg
1993,4.18,rpg
1994,4.2,rpg
1995,4.08,rpg
1996,4.1,rpg
1997,4.1,rpg
1998,4.12,rpg
1999,4.0,rpg
2000,4.18,rpg
2001,4.2,rpg
2002,4.2,rpg
2003,4.18,rpg
2004,4.14,rpg
2005,4.12,rpg
2006,4.0,rpg
2007,4.02,rpg
2008,4.14,rpg
2009,4.12,rpg
2010,4.12,rpg
2011,4.06,rpg
2012,4.0,rpg
2013,4.0,rpg
2014,4.08,rpg
2015,4.08,rpg
2016,4.12,rpg
2017,4.12,rpg
2018,4.08,rpg
2019,4.36,rpg
2020,4.32,rpg
2021,4.32,rpg
2022,4.4,rpg
2023,4.26,rpg