All-Defensive 2nd Team,,,,,,,,
YEAR,PLAYER,POS,TEAM,FG%,PPG,RPG,APG,BLKPG
2023,Draymond Green,PF,Golden State Warriors,0.527,8.5,7.2,6.8,0.8
,Derrick White,PG,Boston Celtics,0.462,12.4,3.6,3.9,0.9
,Dillon Brooks,SF,Memphis Grizzlies,0.396,14.3,3.3,2.6,0.2
,O.G. Anunoby,SF,Toronto Raptors,0.476,16.8,5,2,0.7
,Bam Adebayo,C,Miami Heat,0.54,20.4,9.2,3.2,0.8
2022,Jrue Holiday,PG,Milwaukee Bucks,0.501,18.3,4.5,6.8,0.4
,Draymond Green,PF,Golden State Warriors,0.525,7.5,7.3,7,1.1
,Matisse Thybulle,SG,Philadelphia 76ers,0.5,5.7,2.3,1.1,1.1
,Robert Williams III,C,Boston Celtics,0.736,10,9.6,2,2.2
,Bam Adebayo,C,Miami Heat,0.557,19.1,10.1,3.4,0.8
2021,Jimmy Butler,SF,Miami Heat,0.497,21.5,6.9,7.1,0.3
,Kawhi Leonard,SF,LA Clippers,0.512,24.8,6.5,5.2,0.4
,Joel Embiid,C,Philadelphia 76ers,0.513,28.5,10.6,2.8,1.4
,Matisse Thybulle,SG,Philadelphia 76ers,0.42,3.9,1.9,1,1.1
,Bam Adebayo,C,Miami Heat,0.57,18.7,9,5.4,1
2020,Brook Lopez,C,Milwaukee Bucks,0.435,12,4.6,1.5,2.4
,Patrick Beverley,G,LA Clippers,0.431,7.9,5.2,3.6,0.5
,Eric Bledsoe,G,Milwaukee Bucks,0.474,14.9,4.6,5.4,0.4
,Kawhi Leonard,F,LA Clippers,0.47,27.1,7.1,4.9,0.6
,Bam Adebayo,F,Miami Heat,0.557,15.9,10.2,5.1,1.3
2019,Jrue Holiday,G,New Orleans Pelicans,0.472,21.2,5,7.7,0.8
,Kawhi Leonard,F,Toronto Raptors,0.496,26.6,7.3,3.3,0.4
,Klay Thompson,G,Golden State Warriors,0.467,21.5,3.8,2.4,0.6
,Draymond Green,F,Golden State Warriors,0.445,7.4,7.3,6.9,1.1
,Joel Embiid,C,Philadelphia 76ers,0.484,27.5,13.6,3.7,1.9
2018,Al Horford,C,Boston Celtics,0.489,12.9,7.4,4.7,1.1
,Jimmy Butler,G,Minnesota Timberwolves,0.474,22.2,5.3,4.9,0.4
,Draymond Green,F,Golden State Warriors,0.454,11,7.6,7.3,1.3
,Joel Embiid,C,Philadelphia 76ers,0.483,22.9,11,3.2,1.8
,Dejounte Murray,G,San Antonio Spurs,0.443,8.1,5.7,2.9,0.4
2017,Tony Allen,G,Memphis Grizzlies,0.46,9.1,5.5,1.4,0.4
,Danny Green,G,San Antonio Spurs,0.392,7.3,3.3,1.8,0.8
,Anthony Davis,F,New Orleans Pelicans,0.505,28,11.8,2.1,2.2
,Andre Roberson,G,Oklahoma City Thunder,0.464,6.6,5.1,1,1
,Giannis Antetokounmpo,F,Milwaukee Bucks,0.521,22.9,8.8,5.4,1.9
2016,Tony Allen,G,Memphis Grizzlies,0.458,8.4,4.6,1.1,0.3
,Paul Millsap,F,Atlanta Hawks,0.47,17.1,9,3.3,1.7
,Paul George,F,Indiana Pacers,0.418,23.1,7,4.1,0.4
,Hassan Whiteside,C,Miami Heat,0.606,14.2,11.8,0.4,3.7
,Jimmy Butler,G,Chicago Bulls,0.454,20.9,5.3,4.8,0.6
2015,Tim Duncan,F,San Antonio Spurs,0.512,13.9,9.1,3,2
,Andrew Bogut,C,Golden State Warriors,0.563,6.3,8.1,2.7,1.7
,John Wall,G,Washington Wizards,0.445,17.6,4.6,10,0.6
,Jimmy Butler,G,Chicago Bulls,0.462,20,5.8,3.3,0.6
,Anthony Davis,F,New Orleans Pelicans,0.535,24.4,10.2,2.2,2.9
2014,LeBron James,F,Miami Heat,0.567,27.1,6.9,6.4,0.3
,Roy Hibbert,C,Indiana Pacers,0.439,10.8,6.6,1.1,2.2
,Patrick Beverley,G,Houston Rockets,0.414,10.2,3.5,2.7,0.4
,Jimmy Butler,G,Chicago Bulls,0.397,13.1,4.9,2.6,0.5
,Kawhi Leonard,F,San Antonio Spurs,0.522,12.8,6.2,2,0.8
2013,Tim Duncan,F,San Antonio Spurs,0.502,17.8,9.9,2.7,2.7
,Mike Conley,G,Memphis Grizzlies,0.44,14.6,2.8,6.1,0.3
,Marc Gasol,C,Memphis Grizzlies,0.494,14.1,7.8,4,1.7
,Avery Bradley,G,Boston Celtics,0.402,9.2,2.2,2.1,0.4
,Paul George,G,Indiana Pacers,0.419,17.4,7.6,4.1,0.6
2012,Kobe Bryant,G,Los Angeles Lakers,0.43,27.9,5.4,4.6,0.3
,Kevin Garnett,C,Boston Celtics,0.503,15.8,8.2,2.9,1
,Tyson Chandler,C,New York Knicks,0.679,11.3,9.9,0.9,1.4
,Luol Deng,F,Chicago Bulls,0.412,15.3,6.5,2.9,0.7
,Rajon Rondo,G,Boston Celtics,0.448,11.9,4.8,11.7,0.1
2011,Tyson Chandler,C,Dallas Mavericks,0.654,10.1,9.4,0.4,1.1
,Tony Allen,SG,Memphis Grizzlies,0.51,8.9,2.7,1.4,0.6
,Andre Iguodala,F,Philadelphia 76ers,0.445,14.1,5.8,6.3,0.6
,Chris Paul,PG,New Orleans Hornets,0.463,15.9,4.1,9.8,0.1
,Joakim Noah,C,Chicago Bulls,0.525,11.7,10.4,2.2,1.5
2010,Tim Duncan,C,San Antonio Spurs,0.518,17.9,10.1,3.2,1.5
,Dwyane Wade,G,Miami Heat,0.476,26.6,4.8,6.5,1.1
,Josh Smith,PF,Atlanta Hawks,0.505,15.7,8.7,4.2,2.1
,Anderson Varejao,C,Cleveland Cavaliers,0.572,8.6,7.6,1.1,0.9
,Thabo Sefolosha,F,Oklahoma City Thunder,0.44,6,4.7,1.8,0.6
2009,Metta World Peace,SF,Los Angeles Lakers,0.401,17.1,5.2,3.3,0.3
,Tim Duncan,C,San Antonio Spurs,0.504,19.3,10.7,3.5,1.7
,Shane Battier,SF,Houston Rockets,0.41,7.3,4.8,2.3,0.9
,Dwyane Wade,G,Miami Heat,0.491,30.2,5,7.5,1.3
,Rajon Rondo,PG,Boston Celtics,0.505,11.9,5.2,8.2,0.1
2008,Raja Bell,SG,Phoenix Suns,0.421,11.9,3.7,2.2,0.4
,Shane Battier,SF,Houston Rockets,0.428,9.3,5.1,1.9,1.1
,Tayshaun Prince,SF,Detroit Pistons,0.448,13.2,4.9,3.3,0.4
,Dwight Howard,C,Orlando Magic,0.599,20.7,14.2,1.3,2.1
,Chris Paul,PG,New Orleans Hornets,0.488,21.1,4,11.6,0.1
2007,Kevin Garnett,PF,Minnesota Timberwolves,0.476,22.4,12.8,4.1,1.7
,Jason Kidd,PG,New Jersey Nets,0.406,13,8.2,9.2,0.3
,Ben Wallace,PF,Chicago Bulls,0.453,6.4,10.7,2.4,2
,Tayshaun Prince,SF,Detroit Pistons,0.46,14.3,5.2,2.8,0.7
,Kirk Hinrich,SG,Chicago Bulls,0.448,16.6,3.4,6.3,0.3
2006,Chauncey Billups,PG,Detroit Pistons,0.418,18.5,3.1,8.6,0.1
,Marcus Camby,C,Denver Nuggets,0.465,12.8,11.9,2.1,3.3
,Tim Duncan,C,San Antonio Spurs,0.484,18.6,11,3.2,2
,Kevin Garnett,PF,Minnesota Timberwolves,0.526,21.8,12.7,4.1,1.4
,Tayshaun Prince,SF,Detroit Pistons,0.455,14.1,4.2,2.3,0.5
2005,Chauncey Billups,PG,Detroit Pistons,0.443,16.5,3.4,5.8,0.1
,Marcus Camby,C,Denver Nuggets,0.465,10.3,10,2.3,3
,Jason Kidd,PG,New Jersey Nets,0.398,14.4,7.4,8.3,0.1
,Andrei Kirilenko,SF,Utah Jazz,0.493,15.6,6.2,3.2,3.3
,Tayshaun Prince,SF,Detroit Pistons,0.487,14.7,5.3,3,0.9
,Dwyane Wade,G,Miami Heat,0.478,24.1,5.2,6.8,1.1
2004,Doug Christie,SG,Sacramento Kings,0.461,10.1,4,4.2,0.5
,Tim Duncan,C,San Antonio Spurs,0.501,22.3,12.4,3.1,2.7
,Jason Kidd,PG,New Jersey Nets,0.384,15.5,6.4,9.2,0.2
,Andrei Kirilenko,SF,Utah Jazz,0.443,16.5,8.1,3.1,2.8
,Theo Ratliff,C,Portland Trail Blazers,0.485,7.9,7.2,0.8,3.6
2003,Metta World Peace,SF,Indiana Pacers,0.428,15.5,5.2,2.9,0.7
,Bruce Bowen,SF,San Antonio Spurs,0.466,7.1,2.9,1.4,0.5
,Jason Kidd,PG,New Jersey Nets,0.414,18.7,6.3,8.9,0.3
,Shaquille O'Neal,C,Los Angeles Lakers,0.574,27.5,11.1,3.1,2.4
,Eric Snow,PG,Philadelphia 76ers,0.452,12.9,3.7,6.6,0.1
2002,Bruce Bowen,SF,San Antonio Spurs,0.389,7,2.7,1.5,0.4
,Kobe Bryant,SF,Los Angeles Lakers,0.469,25.2,5.5,5.5,0.4
,Doug Christie,SG,Sacramento Kings,0.46,12,4.6,4.2,0.3
,Dikembe Mutombo,C,Philadelphia 76ers,0.501,11.5,10.8,1,2.4
,Clifford Robinson,PF,Detroit Pistons,0.425,14.6,4.8,2.5,1.2
2001,Bruce Bowen,SF,Miami Heat,0.363,7.6,3,1.6,0.6
,P.J. Brown,PF,Charlotte Hornets,0.444,8.5,9.3,1.6,1.2
,Kobe Bryant,SF,Los Angeles Lakers,0.464,28.5,5.9,5,0.6
,Doug Christie,SG,Sacramento Kings,0.395,12.3,4.4,3.6,0.6
,Shaquille O'Neal,C,Los Angeles Lakers,0.572,28.7,12.7,3.7,2.8
2000,Eddie Jones,SG,Charlotte Hornets,0.427,20.1,4.8,4.2,0.7
,Jason Kidd,PG,Phoenix Suns,0.409,14.3,7.2,10.1,0.4
,Shaquille O'Neal,C,Los Angeles Lakers,0.574,29.7,13.6,3.8,3
,Scottie Pippen,SF,Portland Trail Blazers,0.451,12.5,6.3,5,0.5
,Clifford Robinson,PF,Portland Trail Blazers,0.464,18.5,4.5,2.8,0.8
1999,Mookie Blaylock,G,Atlanta Hawks,0.379,13.3,4.7,5.8,0.2
,P.J. Brown,PF,Miami Heat,0.48,11.4,6.9,1.3,1
,Eddie Jones,SG,Charlotte Hornets,0.437,15.6,3.9,3.7,1.2
,Dikembe Mutombo,C,Atlanta Hawks,0.512,10.8,12.2,1.1,2.9
,Theo Ratliff,C,Philadelphia 76ers,0.47,11.2,8.1,0.6,3
1998,Mookie Blaylock,G,Atlanta Hawks,0.392,13.2,4.9,6.7,0.3
,Tim Duncan,C,San Antonio Spurs,0.549,21.1,11.9,2.7,2.5
,Eddie Jones,SG,Los Angeles Lakers,0.484,16.9,3.8,3.1,0.7
,Charles Oakley,PF,New York Knicks,0.44,9,9.2,2.5,0.3
,David Robinson,C,San Antonio Spurs,0.511,21.6,10.6,2.7,2.6
1997,Mookie Blaylock,G,Atlanta Hawks,0.432,17.4,5.3,5.9,0.3
,P.J. Brown,PF,Miami Heat,0.457,9.5,8.4,1.2,1.2
,Anthony Mason,F,Charlotte Hornets,0.525,16.2,11.4,5.7,0.5
,Hakeem Olajuwon,C,Houston Rockets,0.51,23.2,9.2,3,2.2
,John Stockton,G,Utah Jazz,0.548,14.4,2.8,10.5,0.2
1996,Mookie Blaylock,G,Atlanta Hawks,0.405,15.7,4.1,5.9,0.2
,Horace Grant,C,Orlando Magic,0.513,13.4,9.2,2.7,1.2
,Derrick McKey,F,Indiana Pacers,0.486,11.7,4.8,3.5,0.6
,Hakeem Olajuwon,C,Houston Rockets,0.514,26.9,10.9,3.6,2.9
,Bobby Phills,F,Cleveland Cavaliers,0.467,14.6,3.6,3.8,0.4
1995,Horace Grant,C,Orlando Magic,0.567,12.8,9.7,2.3,1.2
,Derrick McKey,F,Indiana Pacers,0.493,13.3,4.9,3.4,0.6
,Dikembe Mutombo,C,Denver Nuggets,0.556,11.5,12.5,1.4,3.9
,John Stockton,G,Utah Jazz,0.542,14.7,3.1,12.3,0.3
,Nate McMillan,G,Seattle SuperSonics,0.418,5.2,3.8,5.3,0.7
1994,Horace Grant,C,Chicago Bulls,0.524,15.1,11,3.4,1.2
,David Robinson,C,San Antonio Spurs,0.507,29.8,10.7,4.8,3.3
,Dennis Rodman,F,San Antonio Spurs,0.534,4.7,17.3,2.3,0.4
,Latrell Sprewell,SG,Golden State Warriors,0.433,21,4.9,4.7,0.9
,Nate McMillan,G,Seattle SuperSonics,0.447,6,3.9,5.3,0.3
1993,Horace Grant,C,Chicago Bulls,0.508,13.2,9.5,2.6,1.2
,Dan Majerle,G,Phoenix Suns,0.464,16.9,4.7,3.8,0.4
,David Robinson,C,San Antonio Spurs,0.501,23.4,11.7,3.7,3.2
,John Starks,G,New York Knicks,0.428,17.5,2.6,5.1,0.2
,Larry Nance,F,Cleveland Cavaliers,0.549,16.5,8.7,2.9,2.6
1992,Patrick Ewing,C,New York Knicks,0.522,24,11.2,1.9,3
,John Stockton,G,Utah Jazz,0.482,15.8,3.3,13.7,0.3
,Buck Williams,F,Portland Trail Blazers,0.604,11.3,8.8,1.4,0.5
,Micheal Williams,G,Indiana Pacers,0.49,15,3.6,8.2,0.3
,Larry Nance,F,Cleveland Cavaliers,0.539,17,8.3,2.9,3
1991,Dan Majerle,G,Phoenix Suns,0.484,13.6,5.4,2.8,0.5
,Hakeem Olajuwon,C,Houston Rockets,0.508,21.2,13.8,2.3,3.9
,Scottie Pippen,SF,Chicago Bulls,0.52,17.8,7.3,6.2,1.1
,John Stockton,G,Utah Jazz,0.507,17.2,2.9,14.2,0.2
,Joe Dumars,G,Detroit Pistons,0.481,20.4,2.3,5.5,0.1
1990,David Robinson,C,San Antonio Spurs,0.531,24.3,12,2,3.9
,Derek Harper,G,Dallas Mavericks,0.488,18,3,7.4,0.3
,Rick Mahorn,F,Philadelphia 76ers,0.497,10.8,7.6,1.3,1.4
,Alvin Robertson,G,Milwaukee Bucks,0.503,14.2,6.9,5.5,0.2
,Kevin McHale,,Boston Celtics,No stats available.,,,,
1989,Patrick Ewing,C,New York Knicks,0.567,22.7,9.3,2.4,3.5
,A.C. Green,F,Los Angeles Lakers,0.529,13.3,9,1.3,0.7
,John Stockton,G,Utah Jazz,0.538,17.1,3,13.6,0.2
,Alvin Robertson,G,San Antonio Spurs,0.483,17.3,5.9,6,0.6
,Kevin McHale,,Boston Celtics,No stats available.,,,,
1988,Patrick Ewing,C,New York Knicks,0.555,20.2,8.2,1.5,3
,Karl Malone,PF,Utah Jazz,0.52,27.7,12,2.4,0.6
,Buck Williams,F,New Jersey Nets,0.56,18.3,11.9,1.6,0.6
,Mark Eaton,C,Utah Jazz,0.418,7,8.7,0.7,3.7
,Fat Lever,G,Denver Nuggets,0.473,18.9,8.1,7.8,0.3
,Alvin Robertson,G,San Antonio Spurs,0.465,19.6,6.1,6.8,0.8
1987,Derek Harper,G,Dallas Mavericks,0.5,16,2.6,7.9,0.3
,Mark Eaton,C,Utah Jazz,0.4,7.7,8.8,1.3,4.1
,Maurice Cheeks,,Philadelphia 76ers,No stats available.,,,,
,Rodney McCray,,Houston Rockets,No stats available.,,,,
,Paul Pressey,,Milwaukee Bucks,No stats available.,,,,
1986,Manute Bol,C,Washington Bullets,0.46,3.7,6,0.3,5
,Alvin Robertson,G,San Antonio Spurs,0.514,17,6.3,5.5,0.5
,Michael Cooper,,Los Angeles Lakers,No stats available.,,,,
,Bill Hanzlik,,Denver Nuggets,No stats available.,,,,
,Dennis Johnson,,Boston Celtics,No stats available.,,,,
1985,Hakeem Olajuwon,C,Houston Rockets,0.538,20.6,11.9,1.4,2.7
,Bobby Jones,SF,Philadelphia 76ers,No stats available.,,,,
,T.R. Dunn,,Denver Nuggets,No stats available.,,,,
,Dennis Johnson,,Boston Celtics,No stats available.,,,,
,Danny Vranes,F,Seattle SuperSonics,No stats available.,,,,
1984,Larry Bird,,Boston Celtics,No stats available.,,,,
,Kareem Abdul-Jabbar,,Los Angeles Lakers,No stats available.,,,,
,T.R. Dunn,,Denver Nuggets,No stats available.,,,,
,Dennis Johnson,,Boston Celtics,No stats available.,,,,
,Danny Roundfield,,Atlanta Hawks,No stats available.,,,,
1983,Larry Bird,,Boston Celtics,No stats available.,,,,
,Tree Rollins,C,Atlanta Hawks,No stats available.,,,,
,Kevin McHale,,Boston Celtics,No stats available.,,,,
,Michael Cooper,,Los Angeles Lakers,No stats available.,,,,
,T.R. Dunn,,Denver Nuggets,No stats available.,,,,
1982,Larry Bird,,Boston Celtics,No stats available.,,,,
,Quinn Buckner,,Milwaukee Bucks,No stats available.,,,,
,Sidney Moncrief,G,Milwaukee Bucks,No stats available.,,,,
,Lonnie Shelton,FC,Seattle SuperSonics,No stats available.,,,,
,Jack Sikma,,Seattle SuperSonics,No stats available.,,,,
1981,Dudley Bradley,,Indiana Pacers,No stats available.,,,,
,Quinn Buckner,,Milwaukee Bucks,No stats available.,,,,
,Michael Cooper,,Los Angeles Lakers,No stats available.,,,,
,George Johnson,,San Antonio Spurs,No stats available.,,,,
,Danny Roundfield,,Atlanta Hawks,No stats available.,,,,
,Kermit Washington,,Portland Trail Blazers,No stats available.,,,,
1980,Eddie Johnson,G,Atlanta Hawks,No stats available.,,,,
,David Cowens,,Boston Celtics,No stats available.,,,,
,Quinn Buckner,,Milwaukee Bucks,No stats available.,,,,
,Kermit Washington,,Portland Trail Blazers,No stats available.,,,,
,Scott Wedman,GF,Kansas City Kings,No stats available.,,,,
1979,Eddie Johnson,G,Atlanta Hawks,No stats available.,,,,
,Moses Malone,C,Houston Rockets,No stats available.,,,,
,Michael Carr,,Detroit Pistons,No stats available.,,,,
,Lionel Hollins,,Portland Trail Blazers,No stats available.,,,,
,Maurice Lucas,,Portland Trail Blazers,No stats available.,,,,
1978,Kareem Abdul-Jabbar,,Los Angeles Lakers,No stats available.,,,,
,Quinn Buckner,,Milwaukee Bucks,No stats available.,,,,
,E. Coleman,,Golden State Warriors,No stats available.,,,,
,Artis Gilmore,,Chicago Bulls,No stats available.,,,,
,Robert Gross,,Portland Trail Blazers,No stats available.,,,,
,Norman Van Lier,,Chicago Bulls,No stats available.,,,,
1977,Brian Taylor,,Kansas City Kings,No stats available.,,,,
,Kareem Abdul-Jabbar,,Los Angeles Lakers,No stats available.,,,,
,Jim Brewer,,Cleveland Cavaliers,No stats available.,,,,
,Don Chaney,,Los Angeles Lakers,No stats available.,,,,
,Jamaal Wilkes,,Golden State Warriors,No stats available.,,,,
1976,Kareem Abdul-Jabbar,,Los Angeles Lakers,No stats available.,,,,
,Jim Brewer,,Cleveland Cavaliers,No stats available.,,,,
,Jim Cleamons,G,Cleveland Cavaliers,No stats available.,,,,
,Donald Smith,,Golden State Warriors,No stats available.,,,,
,Jamaal Wilkes,,Golden State Warriors,No stats available.,,,,
1975,David Cowens,,Boston Celtics,No stats available.,,,,
,Elvin Hayes,,Washington Bullets,No stats available.,,,,
,Don Chaney,,Boston Celtics,No stats available.,,,,
,Robert Love,,Chicago Bulls,No stats available.,,,,
,Norman Van Lier,,Chicago Bulls,No stats available.,,,,
1974,Elvin Hayes,,Capital Bullets,No stats available.,,,,
,Nathaniel Thurmond,,Golden State Warriors,No stats available.,,,,
,Don Chaney,,Boston Celtics,No stats available.,,,,
,Robert Love,,Chicago Bulls,No stats available.,,,,
,James Price,,Los Angeles Lakers,No stats available.,,,,
,Hal Uplinger,G,Phoenix Suns,No stats available.,,,,
1973,Nathaniel Thurmond,,Golden State Warriors,No stats available.,,,,
,Don Chaney,,Boston Celtics,No stats available.,,,,
,Michael Riordan,,Baltimore Bullets,No stats available.,,,,
,Paul Silas,,Boston Celtics,No stats available.,,,,
,Norman Van Lier,,Chicago Bulls,No stats available.,,,,
1972,Nathaniel Thurmond,,Golden State Warriors,No stats available.,,,,
,Don Chaney,,Boston Celtics,No stats available.,,,,
,Robert Love,,Chicago Bulls,No stats available.,,,,
,Paul Silas,,Phoenix Suns,No stats available.,,,,
,Norman Van Lier,,Chicago Bulls,No stats available.,,,,
1971,John Havlicek,,Boston Celtics,No stats available.,,,,
,Kareem Abdul-Jabbar,,Milwaukee Bucks,No stats available.,,,,
,Paul Silas,,Phoenix Suns,No stats available.,,,,
,Jerry Sloan,,Chicago Bulls,No stats available.,,,,
,Norman Van Lier,,Chicago Bulls,No stats available.,,,,
1970,John Havlicek,,Boston Celtics,No stats available.,,,,
,Kareem Abdul-Jabbar,,Milwaukee Bucks,No stats available.,,,,
,Bill Bridges,,Atlanta Hawks,No stats available.,,,,
,Joe Caldwell,,Atlanta Hawks,No stats available.,,,,
,Jerry Sloan,,Chicago Bulls,No stats available.,,,,
1969,John Havlicek,,Boston Celtics,No stats available.,,,,
,Jerry West,,Los Angeles Lakers,No stats available.,,,,
,Bill Bridges,,Atlanta Hawks,No stats available.,,,,
,Rudy LaRusso,FC,San Francisco Warriors,No stats available.,,,,
,Thomas Sanders,,Boston Celtics,No stats available.,,,,
