YEAR,PLY_APG,STAT
1950,1.82,apg
1951,2.5,apg
1952,2.24,apg
1953,2.06,apg
1954,1.92,apg
1955,2.56,apg
1956,2.36,apg
1957,2.38,apg
1958,2.0,apg
1959,2.38,apg
1960,2.72,apg
1961,2.58,apg
1962,2.42,apg
1963,2.48,apg
1964,2.38,apg
1965,2.46,apg
1966,2.44,apg
1967,2.66,apg
1968,2.36,apg
1969,2.46,apg
1970,2.72,apg
1971,2.6,apg
1972,2.58,apg
1973,2.58,apg
1974,2.48,apg
1975,2.34,apg
1976,2.26,apg
1977,2.56,apg
1978,2.52,apg
1979,2.42,apg
1980,2.72,apg
1981,2.5,apg
1982,2.76,apg
1983,2.8,apg
1984,2.44,apg
1985,2.8,apg
1986,2.82,apg
1987,2.56,apg
1988,2.5,apg
1989,2.52,apg
1990,2.54,apg
1991,2.36,apg
1992,2.44,apg
1993,2.3,apg
1994,2.2,apg
1995,2.26,apg
1996,2.08,apg
1997,2.02,apg
1998,1.98,apg
1999,1.86,apg
2000,2.0,apg
2001,2.1,apg
2002,2.0,apg
2003,2.02,apg
2004,2.0,apg
2005,1.92,apg
2006,1.86,apg
2007,2.0,apg
2008,1.9,apg
2009,1.88,apg
2010,1.92,apg
2011,1.86,apg
2012,1.78,apg
2013,1.82,apg
2014,1.88,apg
2015,2.14,apg
2016,1.8,apg
2017,1.98,apg
2018,2.08,apg
2019,2.12,apg
2020,2.24,apg
2021,2.0,apg
2022,2.08,apg
2023,2.32,apg