YEAR,PLY_PPG,STAT
1950,8.56,ppg
1951,9.36,ppg
1952,9.82,ppg
1953,9.08,ppg
1954,8.84,ppg
1955,10.02,ppg
1956,10.56,ppg
1957,12.02,ppg
1958,10.94,ppg
1959,12.28,ppg
1960,12.42,ppg
1961,12.68,ppg
1962,12.8,ppg
1963,12.66,ppg
1964,11.62,ppg
1965,12.68,ppg
1966,12.72,ppg
1967,13.04,ppg
1968,12.46,ppg
1969,12.08,ppg
1970,12.12,ppg
1971,11.92,ppg
1972,12.36,ppg
1973,11.6,ppg
1974,10.98,ppg
1975,10.26,ppg
1976,10.36,ppg
1977,10.94,ppg
1978,11.02,ppg
1979,10.7,ppg
1980,11.0,ppg
1981,10.62,ppg
1982,10.68,ppg
1983,10.86,ppg
1984,10.58,ppg
1985,11.46,ppg
1986,11.22,ppg
1987,10.88,ppg
1988,10.64,ppg
1989,10.7,ppg
1990,10.84,ppg
1991,10.48,ppg
1992,10.66,ppg
1993,9.94,ppg
1994,9.64,ppg
1995,10.02,ppg
1996,9.38,ppg
1997,9.62,ppg
1998,9.12,ppg
1999,8.72,ppg
2000,9.38,ppg
2001,9.9,ppg
2002,9.76,ppg
2003,9.62,ppg
2004,8.74,ppg
2005,9.96,ppg
2006,10.08,ppg
2007,9.58,ppg
2008,9.26,ppg
2009,9.5,ppg
2010,9.54,ppg
2011,9.68,ppg
2012,9.06,ppg
2013,9.12,ppg
2014,9.4,ppg
2015,9.88,ppg
2016,9.04,ppg
2017,9.58,ppg
2018,9.86,ppg
2019,9.96,ppg
2020,10.72,ppg
2021,10.2,ppg
2022,9.76,ppg
2023,10.64,ppg