YEAR,PLY_SPG,STAT
1950,0,spg
1951,0,spg
1952,0,spg
1953,0,spg
1954,0,spg
1955,0,spg
1956,0,spg
1957,0,spg
1958,0,spg
1959,0,spg
1960,0,spg
1961,0,spg
1962,0,spg
1963,0,spg
1964,0,spg
1965,0,spg
1966,0,spg
1967,0,spg
1968,0,spg
1969,0,spg
1970,0,spg
1971,0,spg
1972,0,spg
1973,0,spg
1974,0.72,spg
1975,0.9,spg
1976,0.8,spg
1977,0.92,spg
1978,0.82,spg
1979,0.84,spg
1980,0.92,spg
1981,0.86,spg
1982,0.86,spg
1983,0.8,spg
1984,0.78,spg
1985,0.92,spg
1986,0.86,spg
1987,0.74,spg
1988,0.74,spg
1989,0.76,spg
1990,0.8,spg
1991,0.76,spg
1992,0.78,spg
1993,0.8,spg
1994,0.8,spg
1995,0.72,spg
1996,0.76,spg
1997,0.72,spg
1998,0.74,spg
1999,0.78,spg
2000,0.68,spg
2001,0.78,spg
2002,0.78,spg
2003,0.72,spg
2004,0.8,spg
2005,0.68,spg
2006,0.64,spg
2007,0.74,spg
2008,0.64,spg
2009,0.7,spg
2010,0.66,spg
2011,0.72,spg
2012,0.72,spg
2013,0.66,spg
2014,0.68,spg
2015,0.74,spg
2016,0.68,spg
2017,0.68,spg
2018,0.7,spg
2019,0.66,spg
2020,0.66,spg
2021,0.62,spg
2022,0.64,spg
2023,0.66,spg