YEAR,PLY_TS,STAT
1950,42.48,true-shooting-percentage
1951,44.62,true-shooting-percentage
1952,47.64,true-shooting-percentage
1953,45.7,true-shooting-percentage
1954,46.9,true-shooting-percentage
1955,46.3,true-shooting-percentage
1956,45.68,true-shooting-percentage
1957,44.3,true-shooting-percentage
1958,43.74,true-shooting-percentage
1959,46.52,true-shooting-percentage
1960,45.3,true-shooting-percentage
1961,46.2,true-shooting-percentage
1962,46.86,true-shooting-percentage
1963,49.48,true-shooting-percentage
1964,47.62,true-shooting-percentage
1965,48.88,true-shooting-percentage
1966,49.82,true-shooting-percentage
1967,47.56,true-shooting-percentage
1968,49.22,true-shooting-percentage
1969,47.9,true-shooting-percentage
1970,49.7,true-shooting-percentage
1971,49.14,true-shooting-percentage
1972,49.74,true-shooting-percentage
1973,48.94,true-shooting-percentage
1974,49.06,true-shooting-percentage
1975,50.18,true-shooting-percentage
1976,50.94,true-shooting-percentage
1977,51.14,true-shooting-percentage
1978,50.82,true-shooting-percentage
1979,50.36,true-shooting-percentage
1980,52.24,true-shooting-percentage
1981,51.92,true-shooting-percentage
1982,52.12,true-shooting-percentage
1983,52.6,true-shooting-percentage
1984,54.08,true-shooting-percentage
1985,54.68,true-shooting-percentage
1986,54.44,true-shooting-percentage
1987,54.96,true-shooting-percentage
1988,53.96,true-shooting-percentage
1989,53.96,true-shooting-percentage
1990,54.16,true-shooting-percentage
1991,54.74,true-shooting-percentage
1992,54.42,true-shooting-percentage
1993,52.88,true-shooting-percentage
1994,51.6,true-shooting-percentage
1995,55.12,true-shooting-percentage
1996,53.76,true-shooting-percentage
1997,53.5,true-shooting-percentage
1998,52.84,true-shooting-percentage
1999,50.66,true-shooting-percentage
2000,51.64,true-shooting-percentage
2001,51.12,true-shooting-percentage
2002,51.56,true-shooting-percentage
2003,52.66,true-shooting-percentage
2004,49.92,true-shooting-percentage
2005,53.58,true-shooting-percentage
2006,54.72,true-shooting-percentage
2007,53.1,true-shooting-percentage
2008,53.22,true-shooting-percentage
2009,54.44,true-shooting-percentage
2010,54.38,true-shooting-percentage
2011,52.94,true-shooting-percentage
2012,52.12,true-shooting-percentage
2013,52.98,true-shooting-percentage
2014,54.92,true-shooting-percentage
2015,52.62,true-shooting-percentage
2016,53.62,true-shooting-percentage
2017,56.42,true-shooting-percentage
2018,55.76,true-shooting-percentage
2019,55.16,true-shooting-percentage
2020,57.64,true-shooting-percentage
2021,57.7,true-shooting-percentage
2022,57.3,true-shooting-percentage
2023,56.84,true-shooting-percentage