PLAYER_ID,PLAYER_NAME,ACTIVE_STATUS
1630173,Precious Achiuwa,1
203500,Steven Adams,1
1628389,Bam Adebayo,1
1630534,Ochai Agbaji,1
1630583,Santi Aldama,1
1629638,Nickeil Alexander-Walker,1
1628960,Grayson Allen,1
1628386,Jarrett Allen,1
1630631,Jose Alvarado,1
203937,Kyle Anderson,1
203507,Giannis Antetokounmpo,1
203648,Thanasis Antetokounmpo,1
1630175,Cole Anthony,1
1628384,OG Anunoby,1
1627853,Ryan Arcidiacono,1
1630166,Deni Avdija,1
1629028,Deandre Ayton,1
1628962,Udoka Azubuike,1
1630641,Ibou Badji,1
1628963,Marvin Bagley III,1
1641735,Amari Bailey,1
1631116,Patrick Baldwin Jr.,1
1630163,LaMelo Ball,1
1628366,Lonzo Ball,1
1628964,Mo Bamba,1
1631094,Paolo Banchero,1
1630217,Desmond Bane,1
1630625,Dalano Banton,1
1631230,Dominick Barlow,1
203084,Harrison Barnes,1
1630567,Scottie Barnes,1
1629628,RJ Barrett,1
1629646,Charles Bassey,1
1641734,Emoni Bates,1
1628966,Keita Bates-Diop,1
201587,Nicolas Batum,1
203078,Bradley Beal,1
1627736,Malik Beasley,1
1630699,MarJon Beauchamp,1
1631262,Jules Bernard,1
202722,Davis Bertans,1
201976,Patrick Beverley,1
1630180,Saddiq Bey,1
1629048,Goga Bitadze,1
1641931,Onuralp Bitim,1
202687,Bismack Biyombo,0
1641710,Anthony Black,1
1641778,Leaky Black,1
203992,Bogdan Bogdanovic,1
202711,Bojan Bogdanovic,1
1629626,Bol Bol,1
1629716,Marques Bolden,0
1626164,Devin Booker,1
1630527,Brandon Boston Jr.,1
1628449,Chris Boucher,1
1630547,James Bouknight,1
1631123,Jamaree Bouyea,0
1631103,Malaki Branham,1
1631128,Christian Braun,1
1628969,Mikal Bridges,1
1628970,Miles Bridges,1
1629052,Oshae Brissett,1
1627763,Malcolm Brogdon,1
1629717,Armoni Brooks,0
1628415,Dillon Brooks,1
1628971,Bruce Brown,1
1627759,Jaylen Brown,1
1631112,Kendall Brown,1
1641738,Kobe Brown,1
1629650,Moses Brown,1
1630535,Greg Brown III,1
1629718,Charlie Brown Jr.,1
1628972,Troy Brown Jr.,1
1628973,Jalen Brunson,1
1628418,Thomas Bryant,1
1641723,Kobe Bufkin,1
203493,Reggie Bullock Jr.,1
202692,Alec Burks,1
1630215,Jared Butler,1
202710,Jimmy Butler,1
1631288,Jamal Cain,1
203484,Kentavious Caldwell-Pope,1
1641739,Toumani Camara,1
1628427,Vlatko Cancar,1
203991,Clint Capela,1
1628975,Jevon Carter,1
1628976,Wendell Carter Jr.,1
1627936,Alex Caruso,1
1630658,Colin Castleton,1
1630608,Malcolm Cazalon,1
1630577,Julian Champagnie,1
1631108,Max Christie,1
1631321,Sidy Cissoko,1
1641740,Jaylen Clark,1
1629634,Brandon Clarke,1
203903,Jordan Clarkson,1
1629651,Nic Claxton,1
1641730,Noah Clowney,1
1629599,Amir Coffey,1
1628381,John Collins,1
1628380,Zach Collins,1
201144,Mike Conley,1
1626192,Pat Connaughton,1
1641731,Bilal Coulibaly,1
1641741,Ricky Council IV,1
203496,Robert Covington,1
1628470,Torrey Craig,1
203109,Jae Crowder,1
1630595,Cade Cunningham,1
203552,Seth Curry,1
201939,Stephen Curry,1
1630700,Dyson Daniels,1
203076,Anthony Davis,1
1631098,Johnny Davis,1
1631120,JD Davison,1
201942,DeMar DeRozan,1
1641926,Dexter Dennis,0
1628978,Donte DiVincenzo,1
1631217,Moussa Diabate,1
1629603,Mamadi Diakite,1
1628977,Hamidou Diallo,0
1641711,Gradey Dick,1
1631172,Ousmane Dieng,1
203915,Spencer Dinwiddie,1
1629029,Luka Doncic,1
1629652,Luguentz Dort,1
1630245,Ayo Dosunmu,1
1630929,Henri Drell,1
203083,Andre Drummond,1
1630537,Chris Duarte,1
1630561,David Duke Jr.,1
1627739,Kris Dunn,1
201142,Kevin Durant,1
1631105,Jalen Duren,1
1631106,Tari Eason,1
1630162,Anthony Edwards,1
1630556,Kessler Edwards,1
1631165,Keon Ellis,1
203954,Joel Embiid,1
1629234,Drew Eubanks,1
1641787,Tosan Evbuomwan,1
203957,Dante Exum,1
1628981,Bruno Fernando,1
1627827,Dorian Finney-Smith,1
1630201,Malachi Flynn,1
1631323,Simone Fontecchio,1
1630259,Jordan Ford,1
1630235,Trent Forrest,1
203095,Evan Fournier,1
1628368,De'Aaron Fox,1
1631241,Javon Freeman-Liberty,1
1641788,Alex Fudge,0
1628365,Markelle Fultz,1
1629655,Daniel Gafford,1
201568,Danilo Gallinari,1
1629636,Darius Garland,1
1630586,Usman Garuba,1
1630568,Luka Garza,1
1629232,Kaiser Gates,0
1641718,Keyonte George,1
202331,Paul George,1
201959,Taj Gibson,1
1630581,Josh Giddey,1
1628385,Harry Giles III,1
1628983,Shai Gilgeous-Alexander,1
1630264,Anthony Gill,1
1631221,Collin Gillespie,1
1631367,Jacob Gilyard,1
203497,Rudy Gobert,1
1630692,Jordan Goodwin,1
203932,Aaron Gordon,1
201569,Eric Gordon,1
1628984,Devonte' Graham,1
203924,Jerami Grant,1
1631260,AJ Green,1
201980,Danny Green,0
203110,Draymond Green,1
1630224,Jalen Green,1
201145,Jeff Green,1
1630182,Josh Green,1
1631100,AJ Griffin,1
1629656,Quentin Grimes,1
1631243,Mouhamed Gueye,1
1629060,Rui Hachimura,1
1630169,Tyrese Haliburton,1
1630181,R.J. Hampton,1
203501,Tim Hardaway Jr.,1
201935,James Harden,1
1630702,Jaden Hardy,1
1631199,Ron Harper Jr.,0
203914,Gary Harris,1
203925,Joe Harris,1
1630284,Kevon Harris,1
202699,Tobias Harris,1
1627885,Shaquille Harrison,0
1628404,Josh Hart,1
1628392,Isaiah Hartenstein,1
1630573,Sam Hauser,1
1641722,Jordan Hawkins,1
1629637,Jaxson Hayes,1
1630165,Killian Hayes,1
202330,Gordon Hayward,1
1630703,Scoot Henderson,1
1641707,Taylor Hendricks,1
1629639,Tyler Herro,1
1627741,Buddy Hield,1
1629312,Haywood Highsmith,1
1630792,Malcolm Hill,1
1630207,Nate Hinton,1
1641793,D'Moi Hodge,0
1628988,Aaron Holiday,1
201950,Jrue Holiday,1
203200,Justin Holiday,1
1626158,Richaun Holmes,1
1631096,Chet Holmgren,1
1641720,Jalen Hood-Schifino,1
201143,Al Horford,1
1629659,Talen Horton-Tucker,1
1627863,Danuel House Jr.,1
1631216,Caleb Houstan,1
1641724,Jett Howard,1
1628989,Kevin Huerter,1
1630643,Jay Huff,1
1629631,De'Andre Hunter,1
1630562,Matt Hurt,1
1630538,Bones Hyland,1
204060,Joe Ingles,1
1627742,Brandon Ingram,1
202681,Kyrie Irving,1
1628371,Jonathan Isaac,1
1631093,Jaden Ivey,1
1641713,GG Jackson,1
1630543,Isaiah Jackson,1
202704,Reggie Jackson,1
1641748,Andre Jackson Jr.,1
1628991,Jaren Jackson Jr.,1
1631218,Trayce Jackson-Davis,1
2544,LeBron James,1
1631170,Jaime Jaquez Jr.,1
1629610,DaQuan Jeffries,0
1641998,Trey Jemison,1
1629660,Ty Jerome,1
1630198,Isaiah Joe,1
1629661,Cameron Johnson,1
1630552,Jalen Johnson,1
201949,James Johnson,1
1629640,Keldon Johnson,1
1630553,Keon Johnson,1
1641749,Keyontae Johnson,1
203999,Nikola Jokic,1
1641732,Colby Jones,1
1627745,Damian Jones,1
1630529,Herbert Jones,1
1630200,Tre Jones,1
1626145,Tyus Jones,1
1627884,Derrick Jones Jr.,1
201599,DeAndre Jordan,1
202709,Cory Joseph,1
1631107,Nikola Jovic,1
1630548,Johnny Juzang,1
1628379,Luke Kennard,1
1631117,Walker Kessler,1
1630296,Braxton Key,1
1630557,Corey Kispert,1
1628467,Maxi Kleber,1
1628995,Kevin Knox II,1
1629723,John Konchar,1
1627788,Furkan Korkmaz,1
1628436,Luke Kornet,1
1630249,Vit Krejci,1
1630228,Jonathan Kuminga,1
1628398,Kyle Kuzma,1
1631222,Jake LaRavia,1
203897,Zach LaVine,1
1629111,Jock Landale,1
1630639,A.J. Lawson,1
1627747,Caris LeVert,1
1627814,Damion Lee,1
1630240,Saben Lee,1
203458,Alex Len,1
202695,Kawhi Leonard,1
1641721,Maxwell Lewis,1
1630184,Kira Lewis Jr.,1
1630604,E.J. Liddell,1
203081,Damian Lillard,1
1629642,Nassir Little,1
1641726,Dereck Lively II,1
1630587,Isaiah Livers,1
1641753,Chris Livingston,1
1631254,Kenneth Lofton Jr.,1
1626172,Kevon Looney,1
201572,Brook Lopez,1
201577,Robin Lopez,1
201567,Kevin Love,1
200768,Kyle Lowry,1
1641754,Seth Lundy,1
1626168,Trey Lyles,1
1630177,Theo Maledon,1
1630572,Sandro Mamukelashvili,1
1629611,Terance Mann,1
1630544,Tre Mann,1
1626246,Boban Marjanovic,1
1628374,Lauri Markkanen,1
1630230,Naji Marshall,1
1628997,Caleb Martin,1
1628998,Cody Martin,1
1630231,KJ Martin,1
1629726,Garrison Mathews,1
1631097,Bennedict Mathurin,1
202083,Wesley Matthews,1
1630178,Tyrese Maxey,1
1630219,Skylar Mays,1
1630540,Miles McBride,1
203468,CJ McCollum,1
204456,T.J. McConnell,1
1630183,Jaden McDaniels,1
1629667,Jalen McDaniels,1
203926,Doug McDermott,1
201580,JaVale McGee,1
1631121,Bryce McGowens,1
1629162,Jordan McLaughlin,1
1629001,De'Anthony Melton,1
1641877,Nathan Mensah,1
1630241,Sam Merrill,1
1629002,Chimezie Metu,1
203995,Vasilije Micic,1
203114,Khris Middleton,1
1641706,Brandon Miller,1
1641757,Jordan Miller,1
1631159,Leonard Miller,1
201988,Patty Mills,1
1629003,Shake Milton,1
1631303,Justin Minaya,1
1631169,Josh Minott,1
1630558,Davion Mitchell,1
1628378,Donovan Mitchell,1
1630596,Evan Mobley,1
1630600,Isaiah Mobley,1
1628370,Malik Monk,1
1630541,Moses Moody,1
1629875,Xavier Moon,1
1631386,Taze Moore,0
1631111,Wendell Moore Jr.,1
1629630,Ja Morant,1
202693,Markieff Morris,1
1628420,Monte Morris,1
202694,Marcus Morris Sr.,1
1630530,Trey Murphy III,1
1627749,Dejounte Murray,1
1627750,Jamal Murray,1
1631099,Keegan Murray,1
1631200,Kris Murray,1
203488,Mike Muscala,1
1629004,Svi Mykhailiuk,1
1631250,Pete Nance,0
1626204,Larry Nance Jr.,1
1629614,Andrew Nembhard,1
1630174,Aaron Nesmith,1
1627777,Georges Niang,1
1630227,Daishen Nix,1
1630192,Zeke Nnaji,1
1629669,Jaylen Nowell,0
1641806,Markquis Nowell,1
1628373,Frank Ntilikina,1
203994,Jusuf Nurkic,1
1629670,Jordan Nwora,1
1626220,Royce O'Neale,1
1629643,Chuma Okeke,1
1629006,Josh Okogie,1
1630168,Onyeka Okongwu,1
1630171,Isaac Okoro,1
203506,Victor Oladipo,1
203482,Kelly Olynyk,1
1630647,Eugene Omoruyi,1
1626224,Cedi Osman,1
1626162,Kelly Oubre Jr.,1
101108,Chris Paul,1
1626166,Cameron Payne,1
1627780,Gary Payton II,1
1641809,Drew Peterson,1
1630196,Filip Petrusev,0
1641763,Julian Phillips,1
1629618,Jalen Pickett,1
1630590,Scotty Pippen Jr.,1
203486,Mason Plumlee,1
1641764,Brandin Podziemski,1
1627751,Jakob Poeltl,1
1630197,Aleksej Pokusevski,1
1629673,Jordan Poole,1
1629007,Jontay Porter,1
1641854,Craig Porter Jr.,1
1629008,Michael Porter Jr.,1
203490,Otto Porter Jr.,1
1626171,Bobby Portis,1
204001,Kristaps Porzingis,1
1630695,Micah Potter,1
203939,Dwight Powell,1
1626181,Norman Powell,1
1630554,Jason Preston,1
1630563,Joshua Primo,1
1627752,Taurean Prince,1
1630202,Payton Pritchard,1
1641765,Olivier-Maxence Prosper,1
1630243,Trevelin Queen,1
1629674,Neemias Queta,1
1630193,Immanuel Quickley,1
1631311,Lester Quinones,1
203944,Julius Randle,1
1641871,Duop Reath,1
1630559,Austin Reaves,1
1629629,Cam Reddish,1
1630194,Paul Reed,1
1629675,Naz Reid,1
1631197,Jared Rhoden,1
1630208,Nick Richards,1
1626196,Josh Richardson,1
1629130,Duncan Robinson,1
1629010,Jerome Robinson,1
1629011,Mitchell Robinson,1
1631115,Orlando Robinson,1
1630526,Jeremiah Robinson-Earl,1
1631223,David Roddy,1
1631157,Ryan Rollins,0
201565,Derrick Rose,1
1626179,Terry Rozier,1
1641712,Rayan Rupert,1
1626156,D'Angelo Russell,1
1630346,Matt Ryan,1
1627734,Domantas Sabonis,1
1629677,Luka Samanic,1
1631257,Jermaine Samuels Jr.,1
1641766,Adama Sanogo,1
1630611,Gui Santos,1
203967,Dario Saric,1
1630846,Olivier Sarr,1
1631204,Marcus Sasser,1
1629678,Admiral Schofield,1
203471,Dennis Schroder,1
1631220,Dereon Seabron,1
1630578,Alperen Sengun,1
1641729,Brice Sensabaugh,1
1629012,Collin Sexton,1
1629013,Landry Shamet,1
1630549,Day'Ron Sharpe,1
1631101,Shaedon Sharpe,1
1641767,Ben Sheppard,1
1627783,Pascal Siakam,1
1627732,Ben Simmons,1
1629014,Anfernee Simons,1
1630579,Jericho Sims,1
1631376,Dmytro Skapintsev,0
1641771,Jalen Slawson,1
1630606,Javonte Smart,0
203935,Marcus Smart,1
1630696,Dru Smith,1
202397,Ish Smith,1
1630188,Jalen Smith,1
1631173,Terquavion Smith,1
1628372,Dennis Smith Jr.,1
1631095,Jabari Smith Jr.,1
1641733,Nick Smith Jr.,1
1631110,Jeremy Sochan,1
1630531,Jaden Springer,1
1630205,Lamar Stevens,1
1630191,Isaiah Stewart,1
1631124,Julian Strawther,1
1629622,Max Strus,1
1630591,Jalen Suggs,1
1631306,Cole Swider,1
1630256,Jae'Sean Tate,1
1628369,Jayson Tatum,1
1630678,Terry Taylor,1
202066,Garrett Temple,1
1631207,Dalen Terry,1
1628464,Daniel Theis,1
1630560,Cam Thomas,1
1641708,Amen Thompson,1
1641709,Ausar Thompson,1
202691,Klay Thompson,1
202684,Tristan Thompson,1
1630550,JT Thor,1
1629680,Matisse Thybulle,1
1630214,Xavier Tillman,1
1631210,Jacob Toppin,1
1630167,Obi Toppin,1
1629308,Juan Toscano-Anderson,0
1626157,Karl-Anthony Towns,1
1629018,Gary Trent Jr.,1
1631131,Oscar Tshiebwe,1
200782,P.J. Tucker,1
1626167,Myles Turner,1
1641816,Hunter Tyson,1
1630649,Stanley Umude,1
202685,Jonas Valanciunas,1
1627832,Fred VanVleet,1
1629020,Jarred Vanderbilt,1
1630170,Devin Vassell,1
1628426,Sasha Vezenkov,1
1629216,Gabe Vincent,1
202696,Nikola Vucevic,1
1629731,Dean Wade,1
1630532,Franz Wagner,1
1629021,Moritz Wagner,1
1630688,Ish Wainright,0
1631133,Jabari Walker,1
1641716,Jarace Walker,1
1629022,Lonnie Walker IV,1
1641717,Cason Wallace,1
1641775,Jordan Walsh,1
1629023,P.J. Washington,1
1630613,Duane Washington Jr.,1
1631102,TyTy Washington Jr.,1
1629139,Yuta Watanabe,1
1630322,Lindy Waters III,1
1630570,Trendon Watford,1
1631212,Peyton Watson,1
1641705,Victor Wembanyama,1
1631104,Blake Wesley,1
201566,Russell Westbrook,1
1629632,Coby White,1
1628401,Derrick White,1
1641727,Dariq Whitehead,1
1641715,Cam Whitmore,1
1630598,Aaron Wiggins,1
203952,Andrew Wiggins,1
1629623,Lindell Wigginton,0
1630314,Brandon Williams,1
1629684,Grant Williams,1
1631114,Jalen Williams,1
1631119,Jaylin Williams,1
1629026,Kenrich Williams,1
1631109,Mark Williams,1
1631466,Nate Williams,1
1630172,Patrick Williams,1
1630533,Ziaire Williams,1
1629057,Robert Williams III,1
1631246,Vince Williams Jr.,1
1629627,Zion Williamson,1
1630592,Jalen Wilson,1
1629685,Dylan Windler,1
1630164,James Wiseman,1
1631209,Isaiah Wong,1
1626174,Christian Wood,1
1626153,Delon Wright,1
201152,Thaddeus Young,1
1629027,Trae Young,1
1630209,Omer Yurtseven,1
203469,Cody Zeller,1
1627826,Ivica Zubac,1
